Guess id=73362 -> next_url id=Some(73462), batch min=Some(73363) max=Some(73462), records=100, unique_added=100
Guess id=73462 -> next_url id=Some(73562), batch min=Some(73463) max=Some(73562), records=100, unique_added=100
Guess id=73762 -> next_url id=Some(73862), batch min=Some(73763) max=Some(73862), records=100, unique_added=100
Guess id=74162 -> next_url id=Some(74262), batch min=Some(74163) max=Some(74262), records=100, unique_added=100
Guess id=73962 -> next_url id=Some(74062), batch min=Some(73963) max=Some(74062), records=100, unique_added=100
Guess id=74062 -> next_url id=Some(74162), batch min=Some(74063) max=Some(74162), records=100, unique_added=100
Guess id=74262 -> next_url id=Some(74362), batch min=Some(74263) max=Some(74362), records=100, unique_added=100
Guess id=73862 -> next_url id=Some(73962), batch min=Some(73863) max=Some(73962), records=100, unique_added=100
Guess id=74762 -> next_url id=Some(74862), batch min=Some(74763) max=Some(74862), records=100, unique_added=100
Guess id=74362 -> next_url id=Some(74462), batch min=Some(74363) max=Some(74462), records=100, unique_added=100
Guess id=74462 -> next_url id=Some(74562), batch min=Some(74463) max=Some(74562), records=100, unique_added=100
Guess id=74862 -> next_url id=Some(74962), batch min=Some(74863) max=Some(74962), records=100, unique_added=100
Guess id=74962 -> next_url id=Some(75062), batch min=Some(74963) max=Some(75062), records=100, unique_added=100
Guess id=75562 -> next_url id=Some(75662), batch min=Some(75563) max=Some(75662), records=100, unique_added=100
Guess id=75062 -> next_url id=Some(75162), batch min=Some(75063) max=Some(75162), records=100, unique_added=100
Guess id=74562 -> next_url id=Some(74662), batch min=Some(74563) max=Some(74662), records=100, unique_added=100
Guess id=75662 -> next_url id=Some(75762), batch min=Some(75663) max=Some(75762), records=100, unique_added=100
Guess id=75162 -> next_url id=Some(75262), batch min=Some(75163) max=Some(75262), records=100, unique_added=100
Guess id=74662 -> next_url id=Some(74762), batch min=Some(74663) max=Some(74762), records=100, unique_added=100
Guess id=73662 -> next_url id=Some(73762), batch min=Some(73663) max=Some(73762), records=100, unique_added=100
Guess id=75462 -> next_url id=Some(75562), batch min=Some(75463) max=Some(75562), records=100, unique_added=100
Guess id=75362 -> next_url id=Some(75462), batch min=Some(75363) max=Some(75462), records=100, unique_added=100
Guess id=75262 -> next_url id=Some(75362), batch min=Some(75263) max=Some(75362), records=100, unique_added=100
Guess id=75762 -> next_url id=Some(75862), batch min=Some(75763) max=Some(75862), records=100, unique_added=100
Guess id=75862 -> next_url id=Some(75962), batch min=Some(75863) max=Some(75962), records=100, unique_added=100
Guess id=76062 -> next_url id=Some(76162), batch min=Some(76063) max=Some(76162), records=100, unique_added=100
Guess id=75962 -> next_url id=Some(76062), batch min=Some(75963) max=Some(76062), records=100, unique_added=100
Guess id=76162 -> next_url id=Some(76262), batch min=Some(76163) max=Some(76262), records=100, unique_added=100
Guess id=76262 -> next_url id=Some(76362), batch min=Some(76263) max=Some(76362), records=100, unique_added=100
